season,x,y,made_shot
2003-04,158,0,1
2003-04,-131,2,1
2003-04,163,5,1
2003-04,-118,92,0
2003-04,54,22,1
2003-04,61,187,0
2003-04,0,0,1
2003-04,44,105,0
2003-04,15,36,1
2003-04,105,480,0
2003-04,0,95,1
2003-04,71,12,1
2003-04,20,41,1
2003-04,-115,17,0
2003-04,0,0,1
2003-04,115,43,0
2003-04,176,123,1
2003-04,49,166,0
2003-04,0,0,1
2003-04,184,169,0
2003-04,133,125,1
2003-04,0,0,0
2003-04,0,0,0
2003-04,-227,48,1
2003-04,172,184,0
2003-04,-85,156,0
2003-04,-115,135,1
2003-04,0,0,1
2003-04,18,107,0
2003-04,-34,87,1
2003-04,233,82,0
2003-04,-74,20,0
2003-04,0,0,1
2003-04,-67,15,1
2003-04,130,147,1
2003-04,232,23,0
2003-04,51,253,0
2003-04,0,0,1
2003-04,0,0,0
2003-04,-212,61,0
2003-04,0,0,0
2003-04,-92,120,0
2003-04,0,0,0
2003-04,-154,102,0
2003-04,-74,210,1
2003-04,161,138,1
2003-04,151,199,0
2003-04,-125,184,0
2003-04,-205,15,0
2003-04,-159,28,0
2003-04,-5,2,1
2003-04,-31,207,0
2003-04,1,1,0
2003-04,-2,0,1
2003-04,-2,-3,1
2003-04,176,13,0
2003-04,227,-18,0
2003-04,190,163,0
2003-04,15,5,0
2003-04,-3,3,0
2003-04,20,8,0
2003-04,-16,7,1
2003-04,92,18,0
2003-04,120,-3,0
2003-04,6,28,1
2003-04,-33,12,0
2003-04,-90,0,1
2003-04,-192,176,1
2003-04,21,10,1
2003-04,10,10,1
2003-04,43,46,0
2003-04,-179,202,0
2003-04,158,79,1
2003-04,16,0,1
2003-04,92,-5,0
2003-04,87,23,0
2003-04,-31,8,0
2003-04,-15,15,0
2003-04,-194,84,0
2003-04,3,192,0
2003-04,-13,-3,0
2003-04,-16,-1,0
2003-04,-3,7,1
2003-04,-140,0,1
2003-04,-10,12,1
2003-04,-125,53,1
2003-04,-69,176,0
2003-04,34,-16,0
2003-04,-20,8,0
2003-04,-2,0,0
2003-04,5,0,1
2003-04,-15,-3,0
2003-04,-8,5,1
2003-04,-8,-8,0
2003-04,-6,0,0
2003-04,1,-5,1
2003-04,0,-5,1
2003-04,-148,87,1
2003-04,0,161,1
2003-04,-223,104,1
2003-04,-223,105,1
